,Table. Test 3+4+6+7+8+10+11 RESULTS,,,,,,,,,,,,,,,,,
With Canopy,,,,,,,,,,,,,,,,,ndata,124
Data with only values,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Inputs,,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Charge weights
TNT","Wall height
H","Canopy length
Lc","Range
R","Range
Rx","Range
Ry","Elevation
h",H/W1/3,Lc/W1/3,Rx/W1/3,Ry/W1/3,h/W1/3,"Peak Side-on 
Overpressure",Total impulse,,
No.,No.,(kg),(kg),(m),(m),(m),(m),(m),(m),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(kPa),(kPa-msec),,
,F2-1,6.804,7.682,0.6858,0.3048,1.372,1.372,0.000,0.000,0.030,0.013,0.060,0.000,0.000,182.57,124.11,,
,F2-2,6.804,7.682,0.6858,0.3048,1.372,1.372,0.000,0.686,0.030,0.013,0.060,0.000,0.030,328.40,606.74,,
,F3-1,6.804,7.682,0.6858,0.3048,2.057,2.057,0.000,0.000,0.030,0.013,0.089,0.000,0.000,163.82,124.11,,
,F4-1,6.804,7.682,0.6858,0.3048,2.743,2.743,0.000,0.000,0.030,0.013,0.119,0.000,0.000,90.74,172.37,,
,F4-2,6.804,7.682,0.6858,0.3048,2.743,2.743,0.000,0.686,0.030,0.013,0.119,0.000,0.030,33.85,131.00,,
,F6-1,6.804,7.682,0.6858,0.3048,4.115,4.115,0.000,0.000,0.030,0.013,0.179,0.000,0.000,51.92,144.79,,
,F6-2,6.804,7.682,0.6858,0.3048,4.115,4.115,0.000,0.686,0.030,0.013,0.179,0.000,0.030,35.58,137.90,,
,F8-1,6.804,7.682,0.6858,0.3048,5.486,5.486,0.000,0.000,0.030,0.013,0.238,0.000,0.000,40.61,144.79,,
,F8-2,6.804,7.682,0.6858,0.3048,5.486,5.486,0.000,1.372,0.030,0.013,0.238,0.000,0.060,33.58,131.00,,
,S2-1,6.804,7.682,0.6858,0.3048,1.372,0.970,0.970,0.000,0.030,0.013,0.042,0.042,0.000,251.66,248.21,,
,S2-2,6.804,7.682,0.6858,0.3048,1.372,0.970,0.970,0.686,0.030,0.013,0.042,0.042,0.030,367.49,551.58,,
,S4-1,6.804,7.682,0.6858,0.3048,2.743,1.940,1.940,0.000,0.030,0.013,0.084,0.084,0.000,180.50,165.47,,
,S4-2,6.804,7.682,0.6858,0.3048,2.743,1.940,1.940,0.686,0.030,0.013,0.084,0.084,0.030,221.11,193.05,,
,S8-1,6.804,7.682,0.6858,0.3048,5.486,3.879,3.879,0.000,0.030,0.013,0.168,0.168,0.000,80.19,110.32,,
,S8-2,6.804,7.682,0.6858,0.3048,5.486,3.879,3.879,0.686,0.030,0.013,0.168,0.168,0.030,42.95,96.53,,
10,F1-1,6.804,7.682,0.6858,0.3048,0.686,0.686,0.000,0.000,0.030,0.013,0.030,0.000,0.000,94.53,186.16,,
,F1-2,6.804,7.682,0.6858,0.3048,0.686,0.686,0.000,0.686,0.030,0.013,0.030,0.000,0.030,191.26,213.74,,
,F2-1,6.804,7.682,0.6858,0.3048,1.372,1.372,0.000,0.000,0.030,0.013,0.060,0.000,0.000,170.09,275.79,,
,F2-2,6.804,7.682,0.6858,0.3048,1.372,1.372,0.000,0.686,0.030,0.013,0.060,0.000,0.030,262.97,358.53,,
,F3-1,6.804,7.682,0.6858,0.3048,2.057,2.057,0.000,0.000,0.030,0.013,0.089,0.000,0.000,154.72,262.00,,
,F4-1,6.804,7.682,0.6858,0.3048,2.743,2.743,0.000,0.000,0.030,0.013,0.119,0.000,0.000,82.39,179.26,,
,F4-2,6.804,7.682,0.6858,0.3048,2.743,2.743,0.000,0.686,0.030,0.013,0.119,0.000,0.030,35.92,131.00,,
,F6-1,6.804,7.682,0.6858,0.3048,4.115,4.115,0.000,0.000,0.030,0.013,0.179,0.000,0.000,55.50,158.58,,
,F6-2,6.804,7.682,0.6858,0.3048,4.115,4.115,0.000,0.686,0.030,0.013,0.179,0.000,0.030,36.96,144.79,,
,F8-1,6.804,7.682,0.6858,0.3048,5.486,5.486,0.000,0.000,0.030,0.013,0.238,0.000,0.000,55.16,151.68,,
,F8-2,6.804,7.682,0.6858,0.3048,5.486,5.486,0.000,1.372,0.030,0.013,0.238,0.000,0.060,47.30,131.00,,
,S2-1,6.804,7.682,0.6858,0.3048,1.372,0.970,0.970,0.000,0.030,0.013,0.042,0.042,0.000,244.90,255.11,,
,S2-2,6.804,7.682,0.6858,0.3048,1.372,0.970,0.970,0.686,0.030,0.013,0.042,0.042,0.030,254.62,199.95,,
,S4-1,6.804,7.682,0.6858,0.3048,2.743,1.940,1.940,0.000,0.030,0.013,0.084,0.084,0.000,153.48,158.58,,
,S4-2,6.804,7.682,0.6858,0.3048,2.743,1.940,1.940,0.686,0.030,0.013,0.084,0.084,0.030,235.87,213.74,,
,S8-1,6.804,7.682,0.6858,0.3048,5.486,3.879,3.879,0.000,0.030,0.013,0.168,0.168,0.000,76.26,110.32,,
,S8-2,6.804,7.682,0.6858,0.3048,5.486,3.879,3.879,0.686,0.030,0.013,0.168,0.168,0.030,43.16,103.42,,
